Wall time,Step,Value
1757926821.992662,1,11107.271484375
1757926829.751779,2,1732.5498046875
1757926854.454853,3,7079.50048828125
1757926873.0798457,4,8833.955078125
1757926898.2682042,5,7544.2373046875
1757926950.0209444,6,23060.615234375
1757926981.7650433,7,11875.3583984375
1757927004.8468728,8,11627.580078125
1757927031.6465337,9,9154.669921875
1757927052.1404042,10,8214.9580078125
1757927071.802737,11,8958.2138671875
1757927104.8823879,12,23065.8046875
1757927132.8435125,13,19386.435546875
1757927159.1132057,14,19641.609375
1757927185.149954,15,19997.353515625
1757927202.4412136,16,12615.7490234375
1757927227.7480493,17,19860.740234375
1757927242.9640112,18,12434.7041015625
1757927257.876051,19,12578.59375
1757927272.685655,20,12515.033203125
1757927287.12801,21,12514.7783203125
1757927301.3445332,22,12408.4208984375
1757927315.4151921,23,12665.2958984375
1757927329.9863467,24,12329.046875
1757927343.9601483,25,12800.333984375
1757927357.732906,26,12544.8896484375
1757927371.571341,27,12265.9921875
1757927385.0048873,28,12757.17578125
1757927398.5402293,29,12470.01953125
1757927411.7948196,30,12528.7333984375
1757927425.335665,31,12775.8603515625
1757927439.1647246,32,12555.2939453125
1757927451.4949088,33,12038.5361328125
1757927463.1897764,34,10083.7001953125
1757927495.6712039,35,30070.48828125
1757927527.3824964,36,30273.126953125
1757927540.9368813,37,12678.4423828125
1757927555.911911,38,12310.58203125
1757927571.1527247,39,12319.8056640625
1757927592.3308518,40,19667.458984375
1757927623.0288155,41,30385.884765625
1757927637.47698,42,12609.658203125
1757927652.289925,43,12032.767578125
1757927666.7691991,44,12533.1142578125
1757927681.0289042,45,12400.4140625
1757927694.9639919,46,12568.4150390625
1757927708.362425,47,12694.35546875
1757927722.5950906,48,12672.1171875
1757927737.4521074,49,12393.046875
1757927749.9191282,50,12592.107421875
1757927763.184981,51,12780.5478515625
1757927776.252866,52,13018.41015625
1757927790.418464,53,12418.59765625
1757927804.645586,54,12242.1982421875
1757927835.3719575,55,30555.84375
