Wall time,Step,Value
1757926821.9927197,1,387.0
1757926829.7518487,2,97.0
1757926854.4549,3,284.0
1757926873.0798924,4,397.0
1757926898.268254,5,322.0
1757926950.021002,6,825.0
1757926981.7651174,7,396.0
1757927004.8469274,8,383.0
1757927031.6466045,9,603.0
1757927052.1404486,10,384.0
1757927071.802804,11,390.0
1757927104.882459,12,926.0
1757927132.8435817,13,603.0
1757927159.1132622,14,603.0
1757927185.1499984,15,612.0
1757927202.4412823,16,394.0
1757927227.7480948,17,604.0
1757927242.96406,18,386.0
1757927257.8761148,19,392.0
1757927272.685709,20,394.0
1757927287.1280549,21,390.0
1757927301.3445811,22,384.0
1757927315.4152403,23,392.0
1757927329.9864168,24,384.0
1757927343.960219,25,400.0
1757927357.7329745,26,394.0
1757927371.571388,27,394.0
1757927385.0049334,28,398.0
1757927398.5402865,29,395.0
1757927411.7948744,30,390.0
1757927425.3357334,31,401.0
1757927439.1647708,32,400.0
1757927451.4949636,33,379.0
1757927463.1898227,34,523.0
1757927495.67125,35,930.0
1757927527.3825417,36,930.0
1757927540.9369278,37,392.0
1757927555.9119666,38,397.0
1757927571.1527941,39,395.0
1757927592.3309205,40,612.0
1757927623.0288877,41,930.0
1757927637.477026,42,400.0
1757927652.2899919,43,399.0
1757927666.7692444,44,397.0
1757927681.028962,45,400.0
1757927694.964063,46,398.0
1757927708.362471,47,400.0
1757927722.5951452,48,398.0
1757927737.4521623,49,395.0
1757927749.9191759,50,392.0
1757927763.1850507,51,398.0
1757927776.2529352,52,400.0
1757927790.4185083,53,393.0
1757927804.6456323,54,387.0
1757927835.3720047,55,930.0
1757927849.3702064,56,396.0
1757927864.4353747,57,400.0
1757927879.0675924,58,397.0
1757927893.0767932,59,397.0
1757927905.3309832,60,535.0
1757927918.724653,61,395.0
1757927932.9258618,62,397.0
1757927946.6564722,63,930.0
1757927960.0856156,64,393.0
1757927973.3574142,65,383.0
1757927986.9316874,66,398.0
1757928000.8143559,67,395.0
1757928014.7171652,68,401.0
1757928040.212553,69,930.0
1757928065.4166744,70,930.0
1757928080.3652067,71,392.0
1757928092.1041512,72,304.0
1757928106.7620687,73,395.0
1757928121.7253664,74,391.0
1757928135.6375728,75,400.0
1757928168.2915533,76,930.0
1757928182.5607345,77,396.0
1757928196.2650812,78,397.0
1757928211.3080318,79,396.0
1757928224.385593,80,549.0
1757928238.2767398,81,395.0
1757928252.413199,82,391.0
1757928284.8750405,83,930.0
1757928299.707683,84,400.0
1757928312.955453,85,395.0
1757928326.9971464,86,396.0
1757928341.246029,87,383.0
1757928355.653609,88,395.0
1757928369.7476492,89,393.0
1757928383.6746142,90,397.0
1757928397.5693467,91,395.0
1757928410.4041028,92,382.0
1757928441.786874,93,930.0
1757928455.473776,94,395.0
1757928470.4085407,95,396.0
1757928486.6574214,96,398.0
1757928500.242296,97,396.0
1757928514.4044273,98,397.0
1757928529.8440843,99,396.0
1757928544.6510315,100,393.0
1757928575.443056,101,930.0
1757928608.575947,102,930.0
1757928622.7809744,103,397.0
1757928636.0017238,104,397.0
1757928649.929898,105,398.0
1757928664.4662223,106,392.0
1757928679.27356,107,390.0
1757928693.2108872,108,395.0
1757928707.2245703,109,396.0
1757928723.0179172,110,400.0
1757928738.7167356,111,395.0
1757928753.5958939,112,397.0
1757928770.4426286,113,484.0
1757928784.3461587,114,386.0
1757928798.0089324,115,394.0
1757928829.5536635,116,930.0
1757928855.5560853,117,930.0
1757928882.2450268,118,930.0
1757928913.24053,119,930.0
1757928928.1529999,120,399.0
1757928941.884031,121,384.0
1757928956.4430566,122,400.0
1757928970.609152,123,398.0
1757928984.141381,124,396.0
1757928998.2193363,125,388.0
1757929011.7685628,126,393.0
1757929025.4346695,127,398.0
1757929040.1757593,128,397.0
1757929053.2707367,129,398.0
1757929066.92046,130,395.0
1757929098.3452544,131,930.0
1757929123.682792,132,930.0
1757929138.0578322,133,383.0
1757929152.552685,134,398.0
1757929165.7306142,135,398.0
1757929190.2084982,136,930.0
1757929204.1557949,137,392.0
1757929235.7282097,138,930.0
1757929249.8769135,139,397.0
1757929264.072559,140,396.0
1757929278.1380157,141,399.0
1757929291.2981896,142,393.0
1757929315.8589754,143,930.0
1757929330.1664574,144,397.0
1757929344.6243217,145,394.0
1757929376.324175,146,930.0
1757929389.795888,147,396.0
1757929403.5731816,148,397.0
1757929419.4910176,149,396.0
1757929451.081655,150,930.0
1757929477.0679953,151,930.0
1757929502.0670369,152,930.0
1757929532.480642,153,930.0
1757929545.4358642,154,396.0
1757929569.2769296,155,930.0
1757929582.6044385,156,396.0
1757929596.9467003,157,396.0
1757929629.8702867,158,930.0
1757929662.0348313,159,930.0
1757929676.630668,160,397.0
1757929708.5043495,161,930.0
1757929740.2806675,162,930.0
1757929755.1177824,163,394.0
1757929786.3917577,164,930.0
1757929816.2973604,165,930.0
1757929829.7026072,166,397.0
1757929843.0646079,167,392.0
1757929856.733779,168,385.0
1757929870.0828562,169,397.0
1757929884.4730055,170,398.0
1757929898.258203,171,397.0
1757929911.5804608,172,401.0
1757929937.3076363,173,930.0
1757929950.9012487,174,384.0
1757929964.8086843,175,382.0
1757929978.2307994,176,392.0
1757930010.1478443,177,930.0
1757930024.469974,178,382.0
1757930037.2378993,179,393.0
1757930051.2206397,180,392.0
1757930065.980565,181,930.0
1757930079.3750193,182,390.0
1757930104.5345447,183,930.0
1757930117.890781,184,400.0
1757930131.5586612,185,380.0
1757930164.5180826,186,930.0
1757930176.8088212,187,366.0
1757930208.6271846,188,930.0
1757930241.6181207,189,930.0
1757930271.9115274,190,930.0
1757930286.2705822,191,396.0
1757930300.7483768,192,401.0
1757930313.7825258,193,393.0
1757930344.300438,194,930.0
1757930376.0305574,195,930.0
1757930409.2479537,196,930.0
1757930422.079274,197,386.0
1757930453.1472368,198,930.0
1757930467.1158752,199,397.0
1757930497.5343585,200,930.0
1757930511.2201786,201,398.0
1757930537.1417017,202,930.0
1757930568.6008935,203,929.0
1757930599.517359,204,930.0
1757930630.5993345,205,930.0
1757930659.539837,206,930.0
1757930672.7935047,207,368.0
1757930704.8146665,208,930.0
1757930718.914276,209,396.0
1757930731.5362713,210,381.0
1757930744.266998,211,390.0
1757930775.174562,212,930.0
1757930788.4126155,213,397.0
1757930802.0493264,214,396.0
1757930832.9863513,215,930.0
1757930846.2825274,216,391.0
1757930860.0968451,217,383.0
1757930890.1373587,218,930.0
1757930903.6483216,219,397.0
1757930933.379443,220,930.0
1757930958.4342,221,930.0
1757930972.23068,222,394.0
1757930986.0534718,223,387.0
1757930999.2464054,224,383.0
1757931031.2726934,225,930.0
1757931062.3833761,226,930.0
1757931075.577911,227,397.0
1757931088.5285974,228,395.0
1757931118.9116006,229,930.0
1757931150.6039054,230,930.0
1757931180.6490912,231,930.0
1757931210.5811112,232,930.0
1757931224.390601,233,400.0
1757931255.7056482,234,930.0
1757931269.261877,235,400.0
1757931282.7963176,236,397.0
1757931296.5218077,237,390.0
1757931326.5023112,238,930.0
1757931340.0764952,239,399.0
1757931363.806077,240,930.0
1757931377.845044,241,398.0
1757931410.3293316,242,930.0
1757931424.1138155,243,387.0
1757931456.1628892,244,930.0
1757931470.887069,245,396.0
1757931502.6638248,246,930.0
1757931532.4884398,247,930.0
1757931546.1568677,248,400.0
1757931577.125602,249,930.0
1757931607.7858472,250,930.0
1757931622.0535529,251,387.0
1757931646.9620214,252,930.0
1757931677.4016984,253,930.0
1757931690.7274587,254,391.0
1757931715.6416955,255,930.0
1757931730.4118662,256,389.0
1757931744.7564983,257,382.0
1757931776.5740998,258,930.0
1757931807.9152386,259,930.0
1757931840.5451257,260,930.0
1757931854.4338813,261,398.0
1757931867.9046888,262,399.0
1757931880.7074955,263,398.0
1757931894.710494,264,383.0
1757931908.473948,265,384.0
1757931941.3039865,266,930.0
1757931971.9027607,267,930.0
1757931985.02282,268,394.0
1757931999.1830287,269,399.0
1757932012.5249128,270,392.0
1757932043.8140142,271,930.0
1757932057.3728585,272,380.0
1757932089.4025664,273,930.0
1757932102.8232443,274,384.0
1757932115.36684,275,368.0
1757932146.5426896,276,930.0
1757932161.2356894,277,398.0
1757932192.6893315,278,930.0
1757932217.798739,279,930.0
1757932229.5723255,280,368.0
1757932243.352609,281,389.0
1757932276.3027935,282,930.0
1757932306.92694,283,930.0
1757932333.378208,284,930.0
1757932344.0484595,285,304.0
1757932375.3709235,286,930.0
1757932388.5834458,287,392.0
1757932414.2758715,288,930.0
1757932445.3939795,289,930.0
1757932471.0326357,290,930.0
1757932485.3646228,291,399.0
1757932499.8065495,292,396.0
1757932512.6582928,293,383.0
1757932526.6080947,294,397.0
1757932540.2192292,295,392.0
1757932572.9514673,296,928.0
1757932587.1458154,297,394.0
1757932618.3659186,298,930.0
1757932629.4588645,299,304.0
1757932644.7613845,300,393.0
1757932658.1138945,301,400.0
1757932672.0544393,302,400.0
1757932697.8363578,303,930.0
1757932712.181795,304,399.0
1757932738.094084,305,930.0
1757932752.3835566,306,392.0
1757932765.7825036,307,396.0
1757932778.555001,308,391.0
1757932791.7410252,309,383.0
1757932805.2932386,310,383.0
1757932831.2641964,311,930.0
1757932844.5262809,312,398.0
1757932857.9992793,313,392.0
1757932871.399516,314,383.0
1757932885.5620615,315,399.0
1757932899.2106643,316,400.0
1757932912.0586028,317,393.0
1757932926.291047,318,399.0
1757932956.6450627,319,930.0
1757932981.1809118,320,930.0
1757933006.0870287,321,930.0
1757933035.699514,322,930.0
1757933050.012379,323,384.0
1757933064.5880973,324,394.0
1757933078.0172024,325,381.0
1757933108.9046428,326,930.0
1757933122.045215,327,382.0
1757933152.7715738,328,930.0
1757933165.9158049,329,368.0
1757933178.859663,330,392.0
1757933192.2554848,331,394.0
1757933207.276292,332,387.0
1757933220.3398237,333,380.0
1757933233.2151692,334,383.0
1757933258.3924136,335,930.0
1757933272.9208238,336,384.0
1757933286.359948,337,400.0
1757933317.9405117,338,930.0
1757933330.7073083,339,366.0
1757933361.2729175,340,930.0
1757933387.0443661,341,930.0
1757933418.7373445,342,930.0
1757933434.0287063,343,400.0
1757933446.323715,344,392.0
1757933479.107128,345,930.0
1757933492.1297386,346,378.0
1757933523.3854337,347,930.0
1757933554.7336884,348,930.0
1757933587.1183803,349,930.0
1757933601.1773994,350,393.0
1757933631.3923893,351,930.0
1757933644.5016317,352,385.0
1757933658.032179,353,398.0
1757933689.5619133,354,930.0
1757933702.6276147,355,387.0
1757933727.832567,356,930.0
1757933759.6053333,357,930.0
1757933772.1586187,358,368.0
1757933785.961559,359,387.0
1757933800.0748692,360,395.0
1757933813.7500746,361,384.0
1757933844.4706736,362,930.0
1757933875.6277533,363,930.0
1757933908.5468304,364,930.0
1757933925.2249959,365,484.0
1757933940.0294147,366,393.0
1757933954.9411156,367,400.0
1757933980.5363338,368,930.0
1757933994.4211388,369,399.0
1757934024.8357995,370,930.0
1757934055.9151955,371,930.0
1757934087.9440558,372,930.0
1757934121.0652907,373,930.0
1757934152.9270954,374,930.0
1757934183.4548283,375,930.0
1757934215.375176,376,930.0
1757934229.6051357,377,397.0
1757934260.8626344,378,930.0
1757934294.6361403,379,930.0
1757934328.3920078,380,930.0
1757934342.2559776,381,400.0
1757934367.8670714,382,930.0
1757934399.7449265,383,930.0
1757934413.0910783,384,400.0
1757934444.8782659,385,930.0
1757934470.5127938,386,930.0
1757934503.4986012,387,930.0
1757934527.7928228,388,930.0
1757934559.8089213,389,930.0
1757934591.8715844,390,930.0
1757934604.9629867,391,386.0
1757934637.6674235,392,930.0
1757934671.7485,393,930.0
1757934702.7693222,394,930.0
1757934733.9027474,395,930.0
1757934746.7445807,396,382.0
1757934778.6544957,397,930.0
1757934809.3530335,398,930.0
1757934841.7822692,399,930.0
1757934872.6518395,400,930.0
1757934904.3961542,401,930.0
1757934917.6880145,402,381.0
1757934950.6359985,403,930.0
1757934983.2806523,404,930.0
1757935015.8794727,405,930.0
1757935030.7211587,406,395.0
1757935061.5797422,407,930.0
1757935093.1988406,408,930.0
1757935108.1717386,409,394.0
1757935133.386757,410,930.0
1757935144.238615,411,304.0
1757935175.0290008,412,930.0
1757935208.7738574,413,930.0
1757935240.8979032,414,930.0
1757935273.7397306,415,930.0
1757935299.8613107,416,930.0
1757935331.8717659,417,930.0
1757935364.2594469,418,930.0
1757935396.829627,419,930.0
1757935428.166648,420,930.0
1757935460.6919389,421,930.0
1757935493.1414347,422,930.0
1757935525.5038664,423,930.0
1757935557.5745776,424,930.0
1757935589.9676898,425,930.0
1757935604.5414796,426,400.0
1757935618.8858683,427,385.0
1757935650.4899757,428,930.0
1757935681.8117301,429,930.0
1757935695.2343123,430,387.0
1757935726.8286943,431,930.0
1757935758.5911672,432,930.0
1757935790.3299313,433,930.0
1757935804.196,434,395.0
1757935829.8219268,435,930.0
1757935861.8100646,436,930.0
1757935896.2918723,437,930.0
1757935910.538702,438,383.0
1757935922.8592706,439,381.0
1757935954.9800727,440,930.0
1757935988.0843625,441,930.0
1757936002.47884,442,378.0
1757936014.9802496,443,368.0
1757936028.1488805,444,378.0
1757936061.1798391,445,930.0
1757936086.2463326,446,930.0
1757936119.1474304,447,930.0
1757936150.0646744,448,930.0
1757936163.3405056,449,389.0
1757936176.661181,450,384.0
1757936209.2199125,451,930.0
1757936241.8972383,452,930.0
1757936275.8799267,453,930.0
1757936308.573057,454,930.0
1757936340.5233855,455,930.0
1757936373.1265159,456,930.0
1757936406.0126815,457,930.0
1757936419.8566704,458,395.0
1757936451.5837314,459,930.0
1757936483.2857149,460,930.0
1757936516.521324,461,930.0
1757936549.036223,462,930.0
1757936580.4367504,463,930.0
1757936614.3611825,464,930.0
1757936640.8147998,465,930.0
1757936672.874179,466,930.0
1757936706.200522,467,930.0
1757936740.1034417,468,930.0
1757936771.999538,469,930.0
1757936806.0903926,470,930.0
1757936839.4456913,471,930.0
1757936872.6356206,472,930.0
1757936886.4856527,473,383.0
1757936913.1911595,474,930.0
1757936944.2110283,475,930.0
1757936977.7652314,476,930.0
1757937012.1197948,477,930.0
1757937026.12574,478,393.0
1757937041.2576127,479,393.0
1757937074.0276065,480,930.0
1757937089.0848827,481,392.0
1757937121.0663068,482,930.0
1757937135.1995225,483,406.0
1757937167.6175246,484,930.0
1757937200.0522008,485,930.0
1757937231.924601,486,930.0
1757937263.890704,487,930.0
1757937297.2937503,488,930.0
1757937312.3163414,489,395.0
1757937345.6403906,490,930.0
1757937358.9123645,491,384.0
1757937393.5171676,492,930.0
1757937428.2540095,493,930.0
1757937443.3037732,494,393.0
1757937457.4754927,495,394.0
1757937471.6571918,496,393.0
1757937484.2997618,497,367.0
1757937518.7199297,498,930.0
1757937534.199077,499,396.0
1757937560.7342014,500,930.0
1757937593.5652015,501,930.0
1757937608.293437,502,392.0
1757937642.416719,503,930.0
1757937674.506278,504,930.0
1757937708.307292,505,930.0
1757937723.222174,506,400.0
1757937756.2534223,507,930.0
1757937770.7319336,508,394.0
1757937804.501751,509,930.0
1757937840.8857937,510,930.0
1757937874.1311517,511,930.0
1757937906.0094237,512,930.0
1757937938.4811494,513,930.0
1757937972.136385,514,930.0
1757938007.1086566,515,930.0
1757938040.789082,516,930.0
1757938075.4640772,517,930.0
1757938108.3188784,518,930.0
1757938140.596713,519,930.0
1757938174.2828312,520,930.0
1757938208.447295,521,930.0
1757938234.596983,522,930.0
1757938248.1889465,523,376.0
1757938275.3775363,524,930.0
1757938309.7840662,525,930.0
1757938344.1412373,526,930.0
1757938376.486428,527,930.0
1757938411.2014806,528,930.0
1757938445.0590794,529,930.0
1757938459.2849715,530,395.0
1757938492.7821,531,930.0
1757938506.512233,532,394.0
1757938541.5109844,533,930.0
1757938575.6535316,534,930.0
1757938608.2892857,535,930.0
1757938641.7368336,536,930.0
1757938668.450133,537,930.0
1757938702.3032901,538,930.0
1757938735.8344755,539,930.0
1757938769.0499225,540,930.0
1757938803.6623325,541,930.0
1757938837.7068586,542,930.0
1757938871.166572,543,930.0
1757938903.9354453,544,930.0
1757938937.6862118,545,930.0
1757938971.7268379,546,930.0
1757938997.8899589,547,930.0
1757939032.0248058,548,930.0
1757939065.2168994,549,930.0
1757939098.3364816,550,930.0
1757939132.4848442,551,930.0
1757939167.4087794,552,930.0
1757939201.2465706,553,930.0
1757939228.1643867,554,930.0
1757939262.6708574,555,930.0
1757939276.8009515,556,383.0
1757939303.6929123,557,930.0
1757939336.883917,558,930.0
1757939369.2506495,559,930.0
