Wall time,Step,Value
1758682804.4373908,1,-2975.0478515625
1758682807.6927724,2,-595.5735473632812
1758682810.1174169,3,-224.21949768066406
1758682812.8575222,4,0.8997131586074829
1758682814.8085577,5,-190.68218994140625
1758682817.3939242,6,-205.68206787109375
1758682819.309002,7,-163.82440185546875
1758682821.9601815,8,-210.6100616455078
1758682824.625648,9,-236.0174560546875
1758682826.6929297,10,-119.3394546508789
1758682829.3882794,11,-243.1717987060547
1758682831.309595,12,-181.7888641357422
1758682834.3574412,13,-248.51998901367188
1758682837.8122258,14,388.8167419433594
1758682840.9480345,15,-356.09259033203125
1758682843.0142298,16,-131.25399780273438
1758682846.2122972,17,-253.64303588867188
1758682849.060667,18,-115.10295104980469
1758682851.5239027,19,-192.75894165039062
1758682853.4958155,20,-151.6229248046875
1758682855.2749865,21,-131.61892700195312
1758682857.883605,22,-185.20388793945312
1758682860.2276716,23,-122.57295227050781
1758682862.3349826,24,-134.73825073242188
1758682864.5813193,25,-161.07325744628906
1758682867.570465,26,34.498008728027344
1758682870.2891474,27,-140.96673583984375
1758682872.3219862,28,-145.85301208496094
1758682874.852448,29,-230.34878540039062
1758682877.2378156,30,-190.63111877441406
1758682879.1262631,31,-122.96067810058594
1758682881.0948155,32,-142.0888671875
1758682883.430936,33,-221.98240661621094
1758682886.0344005,34,-233.31890869140625
1758682888.9011054,35,-212.2736358642578
1758682891.4876225,36,-183.6056365966797
1758682894.5047631,37,-117.27945709228516
1758682896.3422897,38,-140.1667938232422
1758682898.6549232,39,-142.1322784423828
1758682901.754216,40,-335.4151306152344
1758682903.8410823,41,-130.95169067382812
1758682906.6357496,42,-276.4123840332031
1758682908.8765113,43,-136.74722290039062
1758682910.5038824,44,-199.6405792236328
1758682912.7140577,45,-109.9286117553711
1758682914.7001727,46,-124.58158874511719
1758682916.4663293,47,-181.60824584960938
1758682918.3074734,48,-193.33595275878906
1758682920.211685,49,-182.31080627441406
1758682922.2849805,50,-133.70359802246094
1758682924.1636853,51,-119.10347747802734
1758682927.0653064,52,-151.9583282470703
1758682928.8817816,53,-124.19263458251953
1758682930.6450236,54,-212.11474609375
1758682932.7201946,55,-105.72854614257812
1758682934.6663425,56,-164.1649169921875
1758682936.574346,57,-167.36611938476562
1758682939.1159737,58,-249.57862854003906
1758682940.920219,59,-121.98766326904297
1758682942.7787201,60,-181.04685974121094
1758682944.4863927,61,-203.38487243652344
1758682946.1948543,62,-278.86566162109375
1758682948.0536816,63,-214.68572998046875
1758682950.008519,64,-237.8726806640625
1758682953.0704372,65,-1132.56640625
1758682955.6118653,66,-1253.42724609375
1758682957.4723024,67,-122.38945007324219
1758682959.96008,68,-238.74252319335938
1758682961.7480533,69,-170.78872680664062
1758682963.6684017,70,-201.63352966308594
1758682965.3433926,71,-256.56512451171875
1758682968.1693141,72,-888.4837646484375
1758682970.7281768,73,-1028.7991943359375
1758682973.2986307,74,-424.3903503417969
1758682974.8618696,75,-204.8206024169922
1758682977.1603749,76,-400.5618896484375
1758682979.3839612,77,-446.04864501953125
1758682981.5971622,78,-426.5331726074219
1758682983.909901,79,-371.1036071777344
1758682986.2653046,80,-407.9393615722656
1758682988.7486324,81,-225.8005828857422
1758682991.5883322,82,-624.143310546875
1758682993.7323081,83,-461.493408203125
1758682995.4034066,84,-247.36703491210938
1758682997.6956475,85,-355.96044921875
1758682999.290658,86,-259.63372802734375
