Wall time,Step,Value
1758776278.950352,1,251.24476623535156
1758776296.075647,2,51.07020950317383
1758776313.1611547,3,29.245220184326172
1758776330.324777,4,31.816200256347656
1758776338.9356356,5,1012.5676879882812
1758776344.6904483,6,1188.44921875
1758776350.0965414,7,742.3028564453125
1758776352.2044077,8,-740.4769897460938
1758776354.4210887,9,28.074787139892578
1758776356.4208724,10,-419.1844787597656
1758776369.5492342,11,117.22341918945312
1758776371.503433,12,-519.2972412109375
1758776373.7030432,13,-329.9311828613281
1758776375.784578,14,-190.9695587158203
1758776378.322809,15,-283.25006103515625
1758776382.0246258,16,182.37461853027344
1758776385.7976832,17,790.94580078125
1758776390.1427898,18,1088.7197265625
1758776392.7447486,19,-157.34857177734375
1758776395.864617,20,391.53460693359375
1758776398.7827387,21,483.0521545410156
1758776401.3528068,22,-109.7154312133789
1758776404.2260888,23,218.79702758789062
1758776407.9579654,24,143.6476593017578
1758776412.128481,25,1222.376953125
1758776416.3739352,26,695.4163818359375
1758776420.6240487,27,1199.5347900390625
1758776425.1658857,28,1247.4949951171875
1758776429.2749166,29,1188.84130859375
1758776433.320293,30,785.9842529296875
1758776462.4555042,31,-1112.385009765625
1758776474.1382778,32,4056.5703125
1758776476.177367,33,78.84117889404297
1758776481.8521583,34,436.2142028808594
1758776520.1446562,35,6441.20166015625
1758776542.8139305,36,5862.91552734375
1758776548.8319762,37,835.9354858398438
1758776588.6947134,38,6304.5361328125
1758776623.636916,39,7505.97998046875
1758776638.6546257,40,6502.53466796875
1758776670.387642,41,7182.16015625
1758776684.2607973,42,7261.0302734375
1758776704.1261058,43,8114.099609375
1758776735.371038,44,6840.6328125
1758776761.2372441,45,3976.48193359375
1758776783.2928674,46,8852.58984375
1758776801.3497283,47,10150.123046875
1758776833.244884,48,8614.0439453125
1758776885.2429254,49,8107.77587890625
1758776905.9954755,50,7859.3681640625
1758776929.7917452,51,10929.662109375
1758776947.9062212,52,7058.58984375
1758776953.0011313,53,1995.544921875
1758776968.8627563,54,8403.8662109375
1758776992.919072,55,2499.8154296875
1758777061.536339,56,9481.451171875
1758777063.5122643,57,225.03077697753906
1758777113.7516396,58,6839.0283203125
1758777144.9004736,59,10950.775390625
1758777184.7114758,60,10599.984375
1758777199.3668396,61,7459.5244140625
1758777244.1617591,62,10637.01171875
1758777296.4382036,63,2405.63720703125
1758777378.5221255,64,9334.3525390625
1758777430.115543,65,11450.357421875
1758777463.8521304,66,9129.2705078125
1758777478.2882779,67,8408.7255859375
1758777493.5553677,68,8980.6845703125
1758777527.3088288,69,8926.54296875
1758777548.4807274,70,11529.607421875
1758777570.8565826,71,2689.7548828125
1758777585.8105516,72,9260.9150390625
1758777619.0486033,73,17810.67578125
1758777642.0619237,74,12582.2197265625
1758777664.4155333,75,12137.46875
1758777684.3562007,76,12342.47265625
1758777703.2133796,77,12232.376953125
1758777724.0774975,78,12831.8134765625
1758777745.445978,79,11912.060546875
1758777781.6314242,80,12142.48046875
1758777805.6431043,81,12790.703125
1758777833.2717857,82,13489.974609375
1758777860.25362,83,13138.115234375
1758777875.074172,84,9463.2216796875
