Wall time,Step,Value
1758776278.9504244,1,40.0
1758776296.0757172,2,5.0
1758776313.1612048,3,5.0
1758776330.3248236,4,5.0
1758776338.9357061,5,63.0
1758776344.6905074,6,70.0
1758776350.09659,7,57.0
1758776352.204457,8,21.0
1758776354.421167,9,20.0
1758776356.4209216,10,23.0
1758776369.5492845,11,29.0
1758776371.503505,12,17.0
1758776373.7030938,13,23.0
1758776375.7846367,14,24.0
1758776378.3228672,15,29.0
1758776382.0246732,16,56.0
1758776385.7977397,17,69.0
1758776390.1428392,18,76.0
1758776392.7447994,19,36.0
1758776395.8646996,20,45.0
1758776398.7827973,21,46.0
1758776401.3528748,22,39.0
1758776404.2261393,23,45.0
1758776407.9580243,24,63.0
1758776412.128528,25,74.0
1758776416.373985,26,68.0
1758776420.6241252,27,75.0
1758776425.1659575,28,77.0
1758776429.274966,29,69.0
1758776433.3203437,30,69.0
1758776462.4555519,31,51.0
1758776474.138348,32,178.0
1758776476.177437,33,20.0
1758776481.852228,34,64.0
1758776520.144706,35,304.0
1758776542.8139787,36,283.0
1758776548.832025,37,57.0
1758776588.6947737,38,296.0
1758776623.636965,39,282.0
1758776638.6546755,40,237.0
1758776670.3877134,41,282.0
1758776684.2608473,42,282.0
1758776704.126153,43,362.0
1758776735.3710873,44,280.0
1758776761.237292,45,152.0
1758776783.2929404,46,407.0
1758776801.3497863,47,362.0
1758776833.2449534,48,294.0
1758776885.2429938,49,293.0
1758776905.9955473,50,338.0
1758776929.7918022,51,606.0
1758776947.9062676,52,287.0
1758776953.0011778,53,79.0
1758776968.8628223,54,285.0
1758776992.919153,55,102.0
1758777061.5363858,56,474.0
1758777063.5123334,57,29.0
1758777113.7516878,58,470.0
1758777144.9005415,59,389.0
1758777184.7115235,60,357.0
1758777199.3668888,61,285.0
1758777244.161809,62,290.0
1758777296.4382517,63,87.0
1758777378.5221999,64,474.0
1758777430.1155932,65,363.0
1758777463.8521802,66,285.0
1758777478.2883267,67,285.0
1758777493.555424,68,286.0
1758777527.3088772,69,450.0
1758777548.4807749,70,376.0
1758777570.856632,71,86.0
1758777585.8106103,72,285.0
1758777619.0486498,73,572.0
1758777642.061992,74,381.0
1758777664.415603,75,375.0
1758777684.356273,76,382.0
1758777703.213435,77,396.0
1758777724.0775468,78,575.0
1758777745.446027,79,375.0
1758777781.6314933,80,353.0
1758777805.643167,81,401.0
1758777833.2718425,82,387.0
1758777860.2536683,83,399.0
1758777875.0742235,84,287.0
1758777888.7414234,85,286.0
1758777902.135454,86,287.0
1758777914.8056161,87,286.0
1758777944.1317215,88,283.0
1758777961.8918705,89,370.0
