Wall time,Step,Value
1758072245.8093421,1,7.0
1758072247.3104043,2,6.0
1758072250.9652355,3,32.0
1758072252.6073546,4,16.0
1758072253.984568,5,5.0
1758072255.1576169,6,7.0
1758072257.0976799,7,11.0
1758072258.95399,8,16.0
1758072260.5174918,9,14.0
1758072261.7140641,10,7.0
1758072262.9177835,11,8.0
1758072264.151379,12,8.0
1758072265.8392718,13,12.0
1758072267.0568893,14,7.0
1758072275.5603187,15,17.0
1758072276.891136,16,6.0
1758072278.234283,17,5.0
1758072280.115457,18,5.0
1758072281.563212,19,8.0
1758072283.6276157,20,5.0
1758072287.882771,21,16.0
1758072307.0738592,22,18.0
1758072341.9757292,23,5.0
1758072358.1814518,24,5.0
1758072418.2828493,25,56.0
1758072434.584706,26,5.0
1758072486.7999325,27,369.0
1758072531.6349359,28,364.0
1758072640.19672,29,369.0
1758072641.6430812,30,14.0
1758072646.093475,31,73.0
1758072648.8111024,32,45.0
1758072651.4315443,33,45.0
1758072658.2569375,34,140.0
1758072672.5930197,35,264.0
1758072674.5810843,36,30.0
1758072676.5538719,37,29.0
1758072681.6690438,38,62.0
1758072683.9604523,39,30.0
1758072694.0559032,40,172.0
1758072697.823164,41,57.0
1758072747.24835,42,538.0
1758072749.3118856,43,29.0
1758072752.3330617,44,46.0
1758072754.4757888,45,30.0
1758072756.703917,46,30.0
1758072760.6830351,47,57.0
1758072764.558159,48,57.0
1758072775.2356517,49,146.0
1758072778.4126031,50,40.0
1758072781.5387363,51,39.0
1758072783.7999744,52,30.0
1758072786.9807923,53,39.0
1758072790.0459158,54,29.0
1758072793.6058626,55,39.0
1758072884.361031,56,304.0
1758072888.4016151,57,57.0
1758072890.3860192,58,19.0
1758072894.4647603,59,39.0
1758072899.3826427,60,67.0
1758072901.8532045,61,29.0
1758072903.7882853,62,19.0
1758072905.5634415,63,20.0
1758072907.2042146,64,19.0
1758072909.022677,65,19.0
1758072910.9332418,66,19.0
1758072913.194678,67,29.0
1758072915.0370674,68,19.0
1758072917.959767,69,29.0
1758072921.4740736,70,39.0
1758072962.9912581,71,283.0
1758073019.5842824,72,302.0
1758073058.0074918,73,528.0
1758073147.3299296,74,399.0
1758073169.4461262,75,400.0
1758073201.7221415,76,398.0
1758073225.5695531,77,395.0
1758073248.4905484,78,382.0
1758073275.1463847,79,401.0
1758073299.816527,80,398.0
1758073323.2918963,81,382.0
1758073346.886803,82,582.0
1758073371.9629252,83,582.0
1758073392.2145858,84,535.0
1758073418.0457315,85,370.0
1758073448.6071148,86,476.0
1758073468.0984917,87,526.0
1758073503.7338598,88,380.0
1758073525.1940603,89,523.0
1758073545.4009812,90,527.0
1758073565.4831846,91,523.0
1758073585.3661048,92,523.0
1758073620.2948067,93,378.0
1758073643.4517512,94,382.0
1758073670.5286553,95,391.0
1758073692.0669017,96,528.0
1758073714.2937746,97,386.0
1758073754.1326807,98,360.0
1758073800.1523871,99,643.0
1758073825.8252685,100,385.0
1758073856.1171377,101,598.0
1758073885.3622372,102,396.0
1758073923.9378004,103,603.0
1758073945.4506745,104,401.0
1758074035.6251407,105,930.0
1758074056.6692774,106,286.0
1758074082.4253821,107,375.0
1758074107.5621214,108,375.0
1758074134.4760516,109,375.0
1758074210.0031931,110,771.0
1758074233.669623,111,375.0
1758074368.975264,112,772.0
1758074391.1747658,113,375.0
1758074413.9656928,114,375.0
1758074467.5734534,115,773.0
1758074493.6687953,116,598.0
1758074515.5950062,117,375.0
1758074539.5543513,118,605.0
1758074561.3692687,119,605.0
1758074595.7785487,120,401.0
1758074650.9918637,121,926.0
1758074687.342293,122,598.0
