Wall time,Step,Value
1757657611.2853694,1,5.0
1757657612.8197477,2,13.0
1757657615.1345682,3,26.0
1757657632.1164725,4,132.0
1757657638.4283118,5,105.0
1757657640.4372268,6,10.0
1757657657.747886,7,5.0
1757657675.0399992,8,5.0
1757657692.293284,9,5.0
1757657709.6532943,10,5.0
1757657726.8471324,11,5.0
1757657744.098149,12,5.0
1757657761.342374,13,5.0
1757657784.9390182,14,13.0
1757657802.724354,15,5.0
1757657820.448683,16,5.0
1757657862.8072643,17,38.0
1757657880.7069564,18,6.0
1757657940.6268916,19,370.0
1757657988.6302345,20,606.0
1757658011.9562173,21,613.0
1757658035.4567542,22,581.0
1757658055.2640386,23,515.0
1757658057.566558,24,29.0
1757658059.950987,25,29.0
1757658062.3329182,26,29.0
1757658064.062868,27,20.0
1757658067.1113129,28,40.0
1757658069.9130297,29,40.0
1757658071.6296897,30,20.0
1757658075.0955563,31,46.0
1757658077.4347003,32,29.0
1757658079.7696738,33,29.0
1757658081.5293136,34,19.0
1757658083.9516807,35,29.0
1757658085.6751406,36,20.0
1757658087.4633646,37,20.0
1757658089.4763393,38,30.0
1757658091.1959243,39,19.0
1757658093.4648097,40,29.0
1757658094.7771745,41,11.0
1757658096.8089373,42,19.0
1757658099.1482875,43,26.0
1757658100.9170084,44,20.0
1757658102.67997,45,19.0
1757658104.4247735,46,17.0
1757658106.072808,47,16.0
1757658107.7727997,48,20.0
1757658109.107023,49,11.0
1757658110.3682032,50,10.0
1757658111.6166346,51,10.0
1757658113.2828867,52,20.0
1757658115.9704385,53,26.0
1757658117.550551,54,20.0
1757658119.213245,55,15.0
1757658120.95646,56,19.0
1757658123.6696002,57,39.0
1757658125.2027283,58,13.0
1757658127.597548,59,17.0
1757658130.4974277,60,40.0
1757658133.2512174,61,39.0
1757658135.1799285,62,21.0
1757658136.9890368,63,20.0
1757658138.8195794,64,20.0
1757658140.565937,65,19.0
1757658142.1696496,66,19.0
1757658145.4945126,67,46.0
1757658147.2196848,68,20.0
1757658154.0484478,69,122.0
1757658155.7250218,70,19.0
1757658157.2745142,71,13.0
1757658158.7725794,72,13.0
1757658160.2666426,73,14.0
1757658161.8361976,74,19.0
1757658168.408037,75,116.0
1757658170.4673867,76,29.0
1757658174.5987995,77,71.0
1757658177.6332245,78,57.0
1757658182.148018,79,80.0
1757658186.1563556,80,69.0
1757658190.3889217,81,68.0
1757658194.927691,82,79.0
1757658199.4794078,83,79.0
1757658203.6668644,84,79.0
1757658207.415387,85,68.0
1757658211.3248265,86,68.0
1757658215.5696182,87,75.0
1757658219.2827983,88,74.0
1757658225.9391305,89,125.0
1757658238.3660219,90,242.0
1757658254.6175146,91,471.0
1757658261.017166,92,105.0
1757658267.039997,93,84.0
1757658272.1416712,94,83.0
1757658276.6461868,95,74.0
1757658281.385927,96,73.0
1757658287.5351565,97,86.0
1757658292.819555,98,79.0
1757658298.193865,99,74.0
1757658303.2503757,100,79.0
1757658307.7696314,101,73.0
1757658312.5016565,102,72.0
1757658317.0093455,103,74.0
1757658321.6089394,104,76.0
1757658328.6193123,105,65.0
1757658335.3086154,106,67.0
1757658340.669965,107,60.0
1757658347.271719,108,58.0
1757658354.972044,109,64.0
1757658360.5756073,110,60.0
1757658367.7189612,111,67.0
1757658374.5957959,112,69.0
1757658381.0502236,113,82.0
1757658388.2083025,114,82.0
1757658405.1404216,115,73.0
1757658410.334808,116,70.0
1757658415.3651772,117,73.0
1757658419.4536374,118,69.0
1757658422.710151,119,40.0
1757658426.860538,120,68.0
1757658429.7729654,121,20.0
1757658434.5490499,122,58.0
1757658436.7669208,123,15.0
1757658440.069771,124,10.0
1757658442.7451832,125,9.0
1757658446.25097,126,6.0
1757658448.7849967,127,37.0
1757658451.3977382,128,43.0
1757658454.6494722,129,46.0
1757658457.9773166,130,18.0
1757658460.1985712,131,14.0
1757658462.9158556,132,12.0
1757658467.0249314,133,9.0
1757658470.9866643,134,7.0
1757658475.9600365,135,5.0
1757658479.5458796,136,14.0
1757658481.8454733,137,14.0
1757658485.555541,138,20.0
1757658488.7434416,139,14.0
1757658491.4175308,140,12.0
1757658494.4928582,141,14.0
1757658498.2792356,142,23.0
1757658501.0742733,143,14.0
1757658504.290413,144,18.0
1757658506.9580054,145,5.0
1757658509.9287846,146,5.0
1757658512.7135646,147,14.0
1757658515.7661295,148,22.0
1757658521.8540113,149,14.0
1757658524.7001283,150,20.0
1757658529.6818013,151,60.0
1757658533.770336,152,36.0
1757658537.8983,153,42.0
1757658542.9000995,154,44.0
1757658579.5275183,155,283.0
1757658633.5476265,156,281.0
1757658637.7948027,157,59.0
1757658641.798658,158,57.0
1757658689.5421865,159,281.0
1757658700.5890286,160,184.0
1757658703.5592399,161,40.0
1757658706.6201956,162,29.0
1757658709.9913874,163,29.0
1757658712.985483,164,29.0
1757658715.891375,165,39.0
1757658718.8410509,166,39.0
1757658748.575723,167,194.0
1757658777.2056599,168,171.0
1757658803.0050743,169,353.0
1757658820.8729117,170,5.0
1757658838.8413036,171,5.0
1757658861.0281618,172,415.0
1757658883.0118763,173,73.0
1757658888.6484268,174,67.0
1757658894.401783,175,68.0
1757658900.0577688,176,84.0
1757658922.0255654,177,71.0
1757658953.0985677,178,221.0
1757658990.5348032,179,375.0
1757659011.6196058,180,368.0
1757659049.4765778,181,284.0
1757659063.9413354,182,224.0
1757659088.5236585,183,399.0
1757659102.4051313,184,219.0
1757659123.9548762,185,73.0
1757659145.7352648,186,71.0
1757659162.189677,187,78.0
1757659176.1095207,188,247.0
1757659181.178956,189,78.0
1757659187.170038,190,78.0
1757659242.7568948,191,359.0
