Wall time,Step,Value
1758087818.302736,1,-4579.2470703125
1758087824.0817256,2,-2872.619873046875
1758087827.0405126,3,-2287.343505859375
1758087830.0683236,4,-2346.737060546875
1758087832.980137,5,-2287.6982421875
1758087835.8398695,6,-2283.8173828125
1758087837.9383097,7,-1632.281494140625
1758087840.083187,8,-1660.4449462890625
1758087842.2604542,9,-1666.1070556640625
1758087844.5611646,10,-1728.9808349609375
1758087863.2375557,11,-1857.7666015625
1758087864.3910766,12,-465.5213317871094
1758087865.5373497,13,-398.727783203125
1758087866.6846774,14,-428.26953125
1758087867.837583,15,-393.3949279785156
1758087868.9546266,16,-381.7651672363281
1758087870.0677574,17,-358.6757507324219
1758087871.1780267,18,-343.27252197265625
1758087872.33179,19,-401.7997131347656
1758087873.4577699,20,-379.7613525390625
1758087874.6361287,21,-448.41693115234375
1758087875.825699,22,-403.630615234375
1758087876.9395223,23,-386.7531433105469
1758087878.111988,24,-555.1610717773438
1758087879.272494,25,-526.7394409179688
1758087880.4578695,26,-487.3179931640625
1758087881.6370494,27,-493.205322265625
1758087882.7936857,28,-474.94354248046875
1758087883.9973092,29,-521.34912109375
1758087885.1319575,30,-463.5772705078125
1758087886.302368,31,-538.0422973632812
1758087887.459847,32,-465.7022705078125
1758087888.6412423,33,-518.8469848632812
1758087889.8835378,34,-556.044921875
1758087891.0690246,35,-505.52685546875
1758087892.233683,36,-569.445556640625
1758087893.3932033,37,-575.4140625
1758087894.6288674,38,-568.4392700195312
1758087895.8090682,39,-507.9659729003906
1758087897.0401704,40,-425.9370422363281
1758087898.2421422,41,-537.7131958007812
1758087899.4254227,42,-498.6751403808594
1758087900.6450524,43,-509.35748291015625
1758087901.887401,44,-483.1637268066406
1758087903.1784933,45,-564.9288330078125
1758087904.4683,46,-558.2281494140625
1758087905.687286,47,-504.7091064453125
1758087906.9394984,48,-413.151611328125
1758087908.140799,49,-387.24615478515625
1758087909.3996747,50,-542.5718383789062
1758087910.606309,51,-520.5784301757812
1758087911.8494306,52,-441.3659362792969
1758087919.4950821,53,-452.91705322265625
1758087920.706555,54,-429.2281188964844
1758087921.8649027,55,-336.52313232421875
1758087923.0363948,56,-357.1648864746094
1758087924.2112002,57,-332.5868225097656
1758087925.356291,58,-320.2352294921875
1758087926.5085602,59,-312.27093505859375
1758087927.653222,60,-309.30718994140625
1758087928.8034635,61,-303.62420654296875
1758087929.9080386,62,-291.0686950683594
1758087931.1111634,63,-275.6788330078125
1758087932.2375188,64,-279.46142578125
1758087933.3980415,65,-283.1047668457031
1758087934.6914375,66,-248.0788116455078
1758087935.9063334,67,-261.599609375
1758087937.1087115,68,-268.3846740722656
1758087938.2925131,69,-260.5111999511719
1758087939.6052287,70,-233.2865447998047
1758087941.9029355,71,-226.57420349121094
1758087943.819506,72,-385.32318115234375
1758087945.3091414,73,-184.8389129638672
1758087947.9351966,74,-64.94664764404297
1758087950.3692641,75,120.53790283203125
1758087978.46293,76,11212.9267578125
1758088015.6600337,77,2968.2021484375
1758088031.8542132,78,24.85894775390625
1758088048.0947018,79,25.17863655090332
1758088064.3009026,80,40.15620040893555
1758088099.1482143,81,256.61798095703125
1758088145.849508,82,620.9794921875
1758088177.1262171,83,74.82213592529297
1758088197.2386026,84,62.830440521240234
1758088213.5092201,85,25.931886672973633
1758088229.764005,86,46.74538040161133
1758088279.1317923,87,17410.32421875
1758088313.8159819,88,5678.30615234375
1758088331.650961,89,117.8539810180664
1758088342.5621805,90,2480.71533203125
1758088394.6858053,91,18577.98828125
1758088413.8061905,92,4204.4755859375
1758088443.79102,93,11470.6650390625
1758088460.0464945,94,39.30755615234375
1758088541.2193854,95,4262.181640625
1758088594.8802729,96,17404.71875
1758088622.3739264,97,12878.26171875
1758088644.9935298,98,10826.2626953125
1758088668.6299636,99,11544.662109375
1758088690.6321762,100,11015.6767578125
1758088708.897562,101,8399.0458984375
1758088733.0673594,102,11013.62109375
1758088765.7475686,103,12077.3740234375
1758088786.6098514,104,7926.14208984375
1758088809.1523519,105,9568.978515625
1758088874.2878892,106,11711.8486328125
1758088902.9997165,107,11217.8203125
1758088924.0433583,108,9302.6669921875
1758088948.391895,109,8136.4755859375
1758088987.3655782,110,7863.765625
1758089013.7019305,111,10272.5458984375
1758089036.9202993,112,9240.0986328125
1758089056.3436723,113,7761.27978515625
1758089077.6754692,114,9230.9423828125
1758089108.3455422,115,10571.1572265625
1758089131.6181598,116,8982.6044921875
1758089153.443551,117,8690.306640625
1758089183.8542883,118,11637.548828125
