Wall time,Step,Value
1755499247.8379214,1,17.0
1755499251.402823,2,8.0
1755499252.6358542,3,16.0
1755499253.7839303,4,13.0
1755499254.9280274,5,12.0
1755499256.0530221,6,12.0
1755499257.1934032,7,13.0
1755499258.8777838,8,25.0
1755499260.8467762,9,28.0
1755499261.9803622,10,13.0
1755499263.6821673,11,25.0
1755499264.8261325,12,14.0
1755499265.9672275,13,13.0
1755499267.1608438,14,14.0
1755499268.3351326,15,14.0
1755499269.4935508,16,14.0
1755499270.693198,17,14.0
1755499271.8640594,18,14.0
1755499272.9809608,19,13.0
1755499274.1238878,20,14.0
1755499275.2854974,21,14.0
1755499276.4042063,22,13.0
1755499277.5389428,23,14.0
1755499278.7310877,24,14.0
1755499279.906604,25,14.0
1755499281.0840588,26,14.0
1755499282.2643976,27,14.0
1755499283.4771562,28,14.0
1755499284.6492226,29,14.0
1755499285.6562092,30,10.0
1755499286.687004,31,10.0
1755499287.6789844,32,9.0
1755499288.6892726,33,9.0
1755499289.6849065,34,9.0
1755499290.6901562,35,9.0
1755499291.691047,36,9.0
1755499292.6760166,37,9.0
1755499293.659712,38,9.0
1755499294.6685007,39,9.0
1755499295.61954,40,9.0
1755499296.584309,41,8.0
1755499297.5590334,42,8.0
1755499298.506482,43,8.0
1755499299.4159844,44,8.0
1755499300.3059542,45,7.0
1755499301.2063339,46,7.0
1755499302.1137476,47,7.0
1755499303.0129213,48,7.0
1755499303.9410646,49,8.0
1755499304.8728654,50,8.0
1755499305.8119483,51,8.0
1755499306.7309437,52,8.0
1755499307.6589332,53,7.0
1755499321.8157814,54,6.0
1755499335.972064,55,6.0
1755499350.2642708,56,5.0
1755499376.0056107,57,24.0
1755499390.8401535,58,19.0
1755499392.383693,59,17.0
1755499394.978464,60,31.0
1755499396.479599,61,18.0
1755499397.9836998,62,17.0
1755499399.4605873,63,17.0
1755499401.0506537,64,17.0
1755499402.2160676,65,13.0
1755499403.7260954,66,18.0
1755499405.2075543,67,18.0
1755499406.6896667,68,17.0
1755499408.316254,69,16.0
1755499409.5228856,70,12.0
1755499411.3718133,71,17.0
1755499413.2269607,72,17.0
1755499415.1536138,73,16.0
1755499416.828459,74,17.0
1755499418.0263512,75,12.0
1755499419.2439966,76,13.0
1755499421.2133443,77,16.0
1755499422.814246,78,17.0
1755499424.3766787,79,17.0
1755499426.0199723,80,17.0
1755499427.6323159,81,17.0
1755499429.245858,82,17.0
1755499430.448978,83,13.0
1755499432.519076,84,16.0
1755499450.6215427,85,14.0
1755499452.2672617,86,15.0
1755499459.5942984,87,13.0
1755499462.9289217,88,15.0
1755499466.404845,89,17.0
1755499480.0867648,90,5.0
1755499496.5496376,91,15.0
1755499498.1258097,92,21.0
1755499513.353825,93,20.0
1755499515.1524355,94,21.0
1755499516.6149518,95,17.0
1755499518.446412,96,24.0
1755499521.783814,97,23.0
1755499523.5178785,98,19.0
1755499525.1119924,99,24.0
1755499526.6120553,100,21.0
1755499541.2648664,101,17.0
1755499542.4398713,102,12.0
1755499543.8710072,103,17.0
1755499545.1119702,104,16.0
1755499546.459865,105,17.0
1755499547.946522,106,16.0
1755499549.7261853,107,25.0
1755499551.2280262,108,25.0
1755499552.4815583,109,13.0
1755499553.7412622,110,14.0
1755499555.121595,111,21.0
1755499556.583319,112,21.0
1755499558.0997095,113,21.0
1755499559.6138597,114,23.0
1755499583.7687106,115,13.0
1755499605.1336586,116,21.0
1755499606.627114,117,21.0
1755499608.1205463,118,21.0
1755499609.5221202,119,21.0
1755499618.193518,120,29.0
1755499619.5103834,121,18.0
1755499621.0867412,122,21.0
1755499622.5345979,123,14.0
1755499624.2464077,124,25.0
1755499625.843374,125,28.0
1755499627.6570053,126,28.0
1755499629.0984712,127,17.0
1755499630.63903,128,24.0
1755499632.3149276,129,24.0
1755499633.9080157,130,28.0
1755499635.4888854,131,25.0
1755499636.7388473,132,17.0
1755499637.9947946,133,16.0
1755499639.7066944,134,28.0
1755499641.2297163,135,28.0
