Wall time,Step,Value
1755590883.411843,1,5.0
1755590891.2412026,2,24.0
1755590892.5094519,3,24.0
1755590893.789256,4,25.0
1755590895.0853274,5,24.0
1755590896.3830602,6,24.0
1755590897.6444452,7,24.0
1755590898.9101286,8,24.0
1755590900.1827662,9,25.0
1755590901.4681468,10,25.0
1755590902.7504573,11,24.0
1755590904.0406003,12,25.0
1755590905.3103821,13,25.0
1755590906.8369513,14,40.0
1755590908.3430836,15,37.0
1755590909.74355,16,28.0
1755590911.2334747,17,36.0
1755590912.6470532,18,28.0
1755590914.1364822,19,35.0
1755590915.6649768,20,36.0
1755590916.789158,21,18.0
1755590918.1356294,22,29.0
1755590919.136985,23,12.0
1755590920.5133424,24,29.0
1755590921.5323415,25,13.0
1755590922.5525749,26,13.0
1755590923.5450814,27,12.0
1755590924.5900815,28,14.0
1755590925.6054401,29,13.0
1755590926.6567996,30,14.0
1755590927.6783772,31,13.0
1755590928.7328503,32,14.0
1755590929.7471445,33,13.0
1755590930.784062,34,14.0
1755590931.853188,35,15.0
1755590932.9191587,36,14.0
1755590933.9455156,37,13.0
1755590934.9467912,38,12.0
1755590935.9830492,39,13.0
1755590936.9997363,40,12.0
1755590938.031564,41,12.0
1755590939.0624158,42,13.0
1755590940.1072981,43,13.0
1755590941.154995,44,13.0
1755590942.2279744,45,15.0
1755590943.2959235,46,14.0
1755590944.284414,47,11.0
1755590945.3348024,48,13.0
1755590946.4017081,49,14.0
1755590947.4246488,50,13.0
1755590948.452982,51,13.0
1755590949.4868836,52,13.0
1755590950.5046926,53,12.0
1755590951.4338193,54,8.0
1755590952.469955,55,13.0
1755590953.4291942,56,9.0
1755590954.3935034,57,9.0
1755590955.3719614,58,11.0
1755590956.3448045,59,10.0
1755590957.2989972,60,9.0
1755590958.2997048,61,11.0
1755590959.2760925,62,10.0
1755590960.2595603,63,11.0
1755590961.2096717,64,9.0
1755590962.142936,65,9.0
1755590963.1277711,66,11.0
1755590964.1360512,67,11.0
1755590965.173741,68,12.0
1755590966.153322,69,10.0
1755590967.1008263,70,9.0
1755590968.0356154,71,9.0
1755590969.0170934,72,10.0
1755590969.986593,73,10.0
1755590970.9421358,74,9.0
1755590971.9054863,75,10.0
1755590972.8492475,76,9.0
1755590973.8204815,77,10.0
1755590974.7861602,78,10.0
1755590975.7207127,79,9.0
1755590976.6819992,80,10.0
1755590977.6302457,81,10.0
1755590978.583787,82,10.0
1755590979.5083113,83,8.0
1755590980.4741788,84,9.0
1755590981.4561677,85,11.0
1755590982.3935053,86,9.0
1755590983.3432539,87,9.0
1755590984.3790991,88,12.0
1755590985.3311524,89,10.0
1755590986.3024542,90,10.0
1755590987.2480693,91,9.0
1755590988.2178738,92,10.0
1755590989.1890054,93,11.0
1755590990.1490054,94,10.0
1755590991.1201677,95,9.0
1755590992.0860078,96,9.0
1755590993.030529,97,9.0
1755590993.9930787,98,10.0
1755590994.9697149,99,10.0
1755590995.9277334,100,10.0
1755590996.8802695,101,10.0
1755590997.8450289,102,10.0
1755590998.8000124,103,10.0
1755590999.763826,104,10.0
1755591000.7408376,105,10.0
1755591001.6989257,106,10.0
1755591002.6578295,107,10.0
1755591003.6498637,108,10.0
1755591004.610605,109,9.0
1755591005.56561,110,9.0
1755591006.5351133,111,10.0
1755591007.5112994,112,11.0
1755591008.4872386,113,10.0
1755591009.4646325,114,10.0
1755591010.4098508,115,9.0
1755591011.4031014,116,11.0
1755591012.3494925,117,9.0
1755591013.3351429,118,11.0
1755591014.320841,119,11.0
1755591015.3352363,120,10.0
1755591016.2970738,121,9.0
1755591017.2457364,122,9.0
1755591018.1808176,123,9.0
1755591019.1347563,124,9.0
1755591020.0430858,125,8.0
1755591021.0425174,126,10.0
1755591022.0198848,127,11.0
1755591022.9372337,128,7.0
1755591023.8242023,129,6.0
1755591024.750623,130,8.0
1755591025.6767805,131,8.0
1755591026.6191597,132,8.0
1755591027.5954483,133,10.0
1755591028.5746202,134,9.0
1755591029.461044,135,6.0
1755591030.418871,136,9.0
1755591031.3222299,137,7.0
1755591032.2620041,138,9.0
1755591033.1663384,139,7.0
1755591034.0875247,140,7.0
1755591034.974369,141,6.0
1755591035.877923,142,7.0
1755591036.7756622,143,8.0
1755591037.6962059,144,6.0
1755591038.6074688,145,6.0
1755591039.5198805,146,8.0
1755591040.4289687,147,7.0
1755591041.354533,148,7.0
1755591042.2963912,149,9.0
1755591043.2444167,150,9.0
1755591044.1854162,151,9.0
1755591045.1061847,152,6.0
1755591046.0404425,153,8.0
1755591046.9479618,154,7.0
1755591047.9116623,155,10.0
1755591048.8993633,156,9.0
1755591049.8097832,157,7.0
1755591050.742795,158,9.0
1755591051.651344,159,7.0
1755591052.57627,160,7.0
1755591053.4814813,161,7.0
1755591054.3892539,162,7.0
1755591055.2897553,163,6.0
1755591056.1876776,164,6.0
1755591057.1459687,165,8.0
1755591058.0826383,166,9.0
1755591058.9873421,167,7.0
1755591059.9609232,168,9.0
1755591060.8708632,169,6.0
1755591061.7759023,170,7.0
1755591062.6771154,171,7.0
1755591063.6121633,172,8.0
1755591064.5421283,173,7.0
1755591065.4655526,174,7.0
1755591066.3734396,175,6.0
1755591067.2762651,176,6.0
1755591068.1803997,177,7.0
1755591069.0928864,178,8.0
1755591069.9828432,179,6.0
1755591070.9190357,180,5.0
1755591071.803052,181,6.0
1755591072.6946611,182,7.0
1755591073.5949776,183,7.0
1755591074.506255,184,6.0
1755591075.4028728,185,6.0
1755591076.3122227,186,7.0
1755591077.251955,187,9.0
1755591078.1534247,188,7.0
1755591079.0521846,189,6.0
1755591079.9537776,190,5.0
1755591080.8650603,191,7.0
1755591081.7954311,192,6.0
1755591082.6983886,193,6.0
1755591083.6836655,194,9.0
1755591084.58097,195,7.0
1755591085.4806032,196,7.0
1755591086.4047773,197,7.0
1755591087.3477716,198,9.0
1755591088.2676198,199,6.0
1755591089.1658726,200,6.0
1755591090.0702055,201,7.0
1755591090.9559257,202,6.0
1755591091.854883,203,6.0
1755591092.7826657,204,6.0
1755591093.6830907,205,5.0
1755591094.579264,206,6.0
1755591095.494222,207,7.0
1755591096.3936052,208,6.0
1755591097.2890139,209,6.0
1755591098.1856496,210,7.0
1755591099.1626873,211,9.0
1755591100.060195,212,5.0
1755591101.2708952,213,7.0
1755591102.235585,214,10.0
1755591103.1821544,215,9.0
1755591104.1735277,216,9.0
1755591105.1730118,217,11.0
1755591106.1266453,218,9.0
1755591107.0383558,219,7.0
1755591108.0613987,220,11.0
1755591108.9675825,221,6.0
1755591109.8796866,222,6.0
1755591110.83998,223,9.0
1755591111.7340388,224,6.0
1755591112.6831298,225,9.0
1755591113.5837471,226,7.0
1755591114.5428822,227,9.0
1755591115.6068783,228,11.0
1755591116.5167093,229,7.0
1755591117.4135556,230,7.0
1755591118.348564,231,9.0
1755591119.3450496,232,12.0
1755591120.303497,233,9.0
1755591121.3083706,234,11.0
1755591122.237181,235,7.0
1755591123.2017338,236,9.0
1755591124.1939483,237,11.0
1755591125.150163,238,9.0
1755591126.1433265,239,11.0
1755591127.0755236,240,8.0
1755591128.048087,241,10.0
1755591129.014265,242,11.0
1755591130.0153396,243,9.0
1755591130.9783995,244,9.0
1755591131.931165,245,10.0
1755591132.817899,246,7.0
1755591133.7780068,247,9.0
1755591134.763451,248,9.0
1755591135.7074063,249,9.0
1755591136.6978238,250,9.0
1755591137.7067504,251,9.0
1755591138.7436137,252,8.0
1755591139.737882,253,9.0
1755591140.6413217,254,6.0
1755591141.6266508,255,9.0
1755591142.6149173,256,9.0
1755591143.5925343,257,9.0
1755591144.5967498,258,10.0
1755591145.5672195,259,9.0
1755591146.5431828,260,10.0
1755591147.5498471,261,9.0
1755591148.5296433,262,10.0
1755591149.4929345,263,9.0
1755591150.4940016,264,9.0
1755591151.5161314,265,10.0
1755591152.5066676,266,9.0
1755591153.4573946,267,10.0
1755591154.422752,268,9.0
1755591155.4039967,269,9.0
1755591156.4035125,270,10.0
1755591157.298883,271,6.0
1755591158.2044058,272,7.0
1755591159.18536,273,9.0
1755591160.1955905,274,10.0
1755591161.172985,275,10.0
1755591162.1744719,276,9.0
1755591163.1494868,277,9.0
1755591164.1098807,278,9.0
1755591165.0682786,279,9.0
1755591166.0157123,280,9.0
1755591166.9916716,281,10.0
1755591167.9729621,282,9.0
1755591168.9355385,283,9.0
1755591169.91069,284,10.0
1755591170.9066336,285,10.0
1755591171.877897,286,9.0
1755591172.8807309,287,10.0
1755591173.8837574,288,9.0
1755591174.9075751,289,10.0
1755591175.8986914,290,9.0
1755591176.9019527,291,9.0
1755591177.8609316,292,9.0
1755591178.825759,293,10.0
1755591179.846656,294,12.0
1755591180.8154793,295,9.0
1755591181.8103309,296,11.0
1755591182.791076,297,9.0
1755591183.7467752,298,9.0
1755591184.7207987,299,9.0
1755591185.7247953,300,9.0
1755591186.6667962,301,7.0
