Wall time,Step,Value
1755598453.606339,1,13.0
1755598456.637302,3,13.0
1755598458.1420412,4,20.0
1755598462.8771367,5,82.0
1755598467.79833,8,12.0
1755598470.7814844,10,14.0
1755598472.1458118,11,17.0
1755598473.619457,12,16.0
1755598478.1782577,15,23.0
1755598479.7155774,16,23.0
1755598482.1498387,17,32.0
1755598486.8841422,19,33.0
1755598488.3810995,20,21.0
1755598489.8834782,21,21.0
1755598493.853957,23,34.0
1755598496.0059628,24,33.0
1755598501.7237659,27,29.0
1755598503.4450567,28,30.0
1755598505.2982209,29,25.0
1755598507.0518942,30,31.0
1755598508.9354017,31,31.0
1755598512.3152165,33,28.0
1755598514.4114103,34,36.0
1755598516.1446505,35,24.0
1755598520.2081568,37,25.0
1755598522.5578246,38,38.0
1755598524.8157773,39,36.0
1755598527.1605034,40,37.0
1755598564.6843395,41,367.0
1755598573.5229297,44,46.0
1755598599.494249,48,13.0
1755598600.9419782,49,19.0
1755598602.323702,50,17.0
1755598613.0823827,51,51.0
1755598616.31562,52,50.0
1755598619.1500452,53,30.0
1755598621.1253474,54,30.0
1755598624.087768,55,50.0
1755598638.5676403,56,7.0
1755598653.1972582,58,15.0
1755598659.2442534,61,12.0
1755598703.499698,62,482.0
1755598706.170278,63,42.0
1755598709.006727,64,46.0
1755598714.3137715,66,36.0
1755598717.5264575,67,46.0
1755598720.3098087,68,45.0
1755598723.1405296,69,46.0
1755598729.0241895,71,46.0
1755598732.0115921,72,45.0
1755598766.6840935,74,445.0
1755598769.004729,76,15.0
1755598777.2702396,78,11.0
1755598778.4471807,79,16.0
1755598779.5560622,80,11.0
1755598780.8217902,81,16.0
1755598781.927045,82,13.0
1755598783.0512965,83,12.0
1755598814.2229385,84,673.0
1755598824.8495533,86,43.0
1755598828.3634703,87,46.0
1755598832.311559,88,49.0
1755598838.9418342,90,46.0
1755598843.000051,91,46.0
1755598849.9023964,93,46.0
1755598858.8108313,96,46.0
1755598873.889338,97,18.0
1755598921.5006447,100,46.0
1755598924.333192,101,42.0
1755598934.6849005,104,49.0
1755598944.7685187,105,154.0
1755598985.410218,107,46.0
1755599016.0128875,108,451.0
1755599041.3670433,109,536.0
1755599044.671572,110,30.0
1755599048.2377305,111,46.0
1755599052.5119255,112,455.0
1755599081.5814064,113,470.0
1755599084.9192376,115,30.0
1755599102.3459113,116,61.0
1755599146.9739609,117,365.0
1755599169.1657195,118,562.0
1755599259.340277,121,46.0
1755599262.4888535,122,45.0
