Wall time,Step,Value
1758111758.710046,1,9.0
1758111760.057516,2,12.0
1758111764.6849701,3,14.0
1758111770.6721382,4,5.0
1758111772.2887363,5,7.0
1758111773.511355,6,10.0
1758111774.746627,7,10.0
1758111776.4780004,8,10.0
1758111777.546321,9,6.0
1758111779.9474008,10,16.0
1758111783.6888366,11,5.0
1758111785.3489914,12,5.0
1758111792.2583287,13,5.0
1758111796.1186733,14,5.0
1758111807.5878077,15,5.0
1758111824.8008351,16,5.0
1758111842.0276654,17,5.0
1758111877.289477,18,5.0
1758111889.7546358,19,6.0
1758111894.1674514,20,10.0
1758111898.142283,21,10.0
1758111903.9492288,22,14.0
1758111905.4895928,23,13.0
1758111918.3154614,24,23.0
1758111935.5367334,25,8.0
1758111937.0659702,26,5.0
1758111945.9607918,27,19.0
1758111948.3308332,28,20.0
1758111957.4771144,29,34.0
1758111959.193192,30,15.0
1758111962.861649,31,14.0
1758111964.68196,32,19.0
1758111968.2383888,33,20.0
1758111970.905038,34,20.0
1758111972.5893502,35,12.0
1758111974.7139986,36,12.0
1758112009.9735591,37,30.0
1758112040.2331307,38,66.0
1758112087.0562313,39,59.0
1758112104.788513,40,11.0
1758112126.642908,41,68.0
1758112170.406263,42,126.0
1758112205.0636384,43,304.0
1758112233.5902483,44,471.0
1758112235.4006734,45,19.0
1758112247.7375576,46,126.0
1758112256.3088932,47,59.0
1758112259.52988,48,34.0
1758112279.091357,49,238.0
1758112285.7289748,50,68.0
1758112297.6009448,51,138.0
1758112315.3078241,52,207.0
1758112327.407673,53,151.0
1758112337.8928847,54,80.0
1758112354.5628922,55,5.0
1758112377.9669461,56,136.0
1758112443.8264701,57,339.0
1758112461.3113317,58,9.0
1758112478.9446952,59,10.0
1758112516.1943722,60,99.0
1758112532.8978877,61,6.0
1758112549.637844,62,6.0
1758112566.25205,63,5.0
1758112583.0107899,64,6.0
1758112599.5405507,65,5.0
1758112616.1851506,66,5.0
1758112621.3491964,67,25.0
1758112644.2211661,68,930.0
1758112646.2909007,69,20.0
1758112651.2875261,70,34.0
1758112658.616344,71,56.0
1758112674.356058,72,305.0
1758112678.263091,73,62.0
1758112697.5373569,74,362.0
1758112718.3407283,75,368.0
1758112751.1209881,76,470.0
1758112775.5611565,77,370.0
1758112796.8113804,78,352.0
1758112815.081466,79,362.0
1758112830.5586462,80,337.0
1758112845.683342,81,350.0
1758112848.322973,82,46.0
1758112850.8184426,83,39.0
1758112854.498529,84,57.0
1758112856.288865,85,29.0
1758112858.2049823,86,29.0
1758112859.758999,87,21.0
1758112861.3024483,88,19.0
