Wall time,Step,Value
1758198695.0781689,1,4098.30615234375
1758198696.8737538,2,91.31303405761719
1758198698.5244505,3,37.04096221923828
1758198699.645835,4,-245.73648071289062
1758198701.067257,5,-210.27337646484375
1758198702.244123,6,-140.9644775390625
1758198703.4002147,7,-194.49855041503906
1758198704.4825542,8,-282.1576232910156
1758198705.6547003,9,-427.77508544921875
1758198706.7534602,10,-260.9290771484375
1758198707.8987448,11,-426.3351745605469
1758198708.9876547,12,-327.20391845703125
1758198710.1456835,13,-248.26902770996094
1758198711.3279874,14,-353.3194885253906
1758198712.43118,15,-265.4244689941406
1758198713.5229273,16,-322.62347412109375
1758198714.6132495,17,-295.3401794433594
1758198715.76049,18,-309.71307373046875
1758198716.9153318,19,-381.90582275390625
1758198718.1364586,20,-498.9109191894531
1758198719.334123,21,-417.7317199707031
1758198720.5842564,22,-275.24761962890625
1758198721.821264,23,-417.9398193359375
1758198722.9595187,24,-328.5517578125
1758198724.1978424,25,-531.0429077148438
1758198728.4704196,26,-2071.54931640625
1758198730.6549568,27,-793.6389770507812
1758198733.8360262,28,-1784.4017333984375
1758198736.1115842,29,-1407.7734375
1758198737.662117,30,-791.9588623046875
1758198742.0443416,31,-3169.685302734375
1758198744.1390011,32,-1093.321533203125
1758198745.761294,33,-769.5114135742188
1758198751.9362981,34,-3402.959228515625
1758198757.1194036,35,-2656.012451171875
1758198759.3546772,36,-999.2084350585938
1758198777.21712,37,-368.5137023925781
1758198808.3929148,38,51.65611267089844
1758198810.961555,39,-752.383544921875
1758198829.9493246,40,-241.22750854492188
1758198843.31185,41,18.47163200378418
1758198848.1147103,42,-436.43609619140625
1758198853.5123923,43,-515.9796752929688
1758198856.464328,44,189.6123809814453
1758198859.7648623,45,-154.90115356445312
1758198878.737163,46,-701.4674072265625
1758198882.56062,47,-190.9314727783203
1758198889.2237492,48,51.171634674072266
1758198906.1736417,49,-1255.591064453125
1758198925.3707173,50,-273.1380310058594
1758198942.2188187,51,84.60114288330078
1758198958.8176548,52,-75.3814926147461
1758198975.029438,53,44.71675109863281
1758198991.19127,54,57.54851531982422
1758199015.534039,55,-270.7754821777344
1758199018.796187,56,-490.26361083984375
1758199021.2541862,57,-448.1728515625
1758199025.9841146,58,-407.0693664550781
1758199028.770127,59,-559.1895141601562
1758199031.3525643,60,-531.576904296875
1758199035.5311334,61,-192.73846435546875
1758199038.4025,62,-314.41815185546875
1758199042.355502,63,-234.38909912109375
1758199044.1276314,64,-498.326904296875
1758199047.0688517,65,-450.9102783203125
1758199049.6820045,66,-310.2313232421875
1758199053.9139986,67,-286.73095703125
1758199056.9177754,68,-355.59619140625
1758199059.1476574,69,-339.8730773925781
1758199060.762172,70,-473.1567077636719
1758199064.0060205,71,-426.4915771484375
1758199065.870413,72,-465.5291748046875
1758199067.641317,73,-393.6562194824219
1758199069.2773573,74,-491.7503662109375
1758199073.0850308,75,-257.5559997558594
1758199074.6949615,76,-474.30474853515625
1758199079.5864787,77,-280.0757751464844
1758199084.050887,78,-43.18693923950195
1758199086.0518105,79,-446.388916015625
1758199090.9199166,80,-460.78961181640625
1758199095.9039943,81,-36.819217681884766
1758199097.6977239,82,-344.9902648925781
1758199099.689476,83,-419.6950378417969
1758199101.6182308,84,-329.39703369140625
1758199105.2382061,85,-54.42391586303711
1758199110.43559,86,117.22581481933594
1758199114.304581,87,137.2696533203125
1758199119.3580234,88,1126.8101806640625
1758199124.3870044,89,1108.270751953125
1758199127.391649,90,-82.30817413330078
1758199133.234526,91,1343.890869140625
1758199138.7081325,92,1275.8009033203125
1758199142.338942,93,406.4446716308594
1758199145.5438173,94,-113.60259246826172
1758199148.8573344,95,57.30699157714844
1758199152.2681482,96,174.27606201171875
1758199153.83593,97,-267.66497802734375
1758199156.5269427,98,-265.6014099121094
1758199159.544377,99,263.3108825683594
1758199162.8172085,100,-52.53530502319336
1758199165.5062172,101,-186.66412353515625
1758199167.500636,102,-311.9045715332031
1758199169.4211364,103,-151.92034912109375
1758199173.7343414,104,-192.72622680664062
1758199176.3859184,105,-477.2402648925781
1758199178.8776445,106,180.4664764404297
1758199181.152938,107,-302.7563781738281
1758199183.1358716,108,-500.37286376953125
1758199186.4910357,109,-345.32470703125
1758199189.6264591,110,-198.63987731933594
