Wall time,Step,Value
1758198695.0782175,1,182.0
1758198696.8738027,2,24.0
1758198698.52452,3,19.0
1758198699.6458848,4,7.0
1758198701.0673072,5,15.0
1758198702.2441716,6,10.0
1758198703.4002626,7,10.0
1758198704.4826033,8,6.0
1758198705.6547673,9,5.0
1758198706.7535088,10,7.0
1758198707.8987896,11,5.0
1758198708.9877038,12,5.0
1758198710.1457305,13,7.0
1758198711.328033,14,6.0
1758198712.4312308,15,7.0
1758198713.522976,16,5.0
1758198714.6133206,17,6.0
1758198715.7605374,18,6.0
1758198716.9153805,19,5.0
1758198718.136509,20,5.0
1758198719.3341756,21,5.0
1758198720.5843027,22,6.0
1758198721.821311,23,5.0
1758198722.9595761,24,5.0
1758198724.1979113,25,5.0
1758198728.470467,26,5.0
1758198730.6550267,27,5.0
1758198733.8360841,28,5.0
1758198736.1116538,29,5.0
1758198737.6621633,30,5.0
1758198742.0444112,31,5.0
1758198744.1390495,32,5.0
1758198745.7613494,33,8.0
1758198751.9363444,34,5.0
1758198757.1194596,35,5.0
1758198759.354736,36,7.0
1758198777.2171655,37,5.0
1758198808.3929725,38,7.0
1758198810.961612,39,5.0
1758198829.9493806,40,7.0
1758198843.3118978,41,20.0
1758198848.11476,42,12.0
1758198853.5124393,43,16.0
1758198856.4644015,44,21.0
1758198859.7649095,45,10.0
1758198878.7372096,46,5.0
1758198882.5606658,47,9.0
1758198889.223795,48,26.0
1758198906.1736882,49,34.0
1758198925.3707666,50,28.0
1758198942.2188666,51,7.0
1758198958.8177097,52,10.0
1758198975.029487,53,5.0
1758198991.191344,54,6.0
1758199015.5340853,55,56.0
1758199018.796233,56,24.0
1758199021.2542336,57,14.0
1758199025.9841602,58,45.0
1758199028.7701974,59,22.0
1758199031.3526125,60,22.0
1758199035.5312102,61,58.0
1758199038.4025495,62,33.0
1758199042.355572,63,47.0
1758199044.1276865,64,11.0
1758199047.0689075,65,33.0
1758199049.6820738,66,34.0
1758199053.914045,67,55.0
1758199056.9178348,68,34.0
1758199059.1477282,69,24.0
1758199060.7622302,70,11.0
1758199064.0060768,71,45.0
1758199065.8704853,72,12.0
1758199067.6413655,73,13.0
1758199069.2774067,74,10.0
1758199073.0851007,75,56.0
1758199074.6950114,76,11.0
1758199079.586551,77,68.0
1758199084.0509439,78,79.0
1758199086.0518804,79,13.0
1758199090.919968,80,56.0
1758199095.9040513,81,59.0
1758199097.697773,82,14.0
1758199099.6895337,83,12.0
1758199101.6182797,84,14.0
1758199105.2382555,85,45.0
1758199110.4356365,86,69.0
1758199114.3046305,87,45.0
1758199119.3580709,88,58.0
1758199124.387053,89,68.0
1758199127.3917055,90,34.0
1758199133.2345755,91,69.0
1758199138.7081847,92,69.0
1758199142.339001,93,45.0
1758199145.5438645,94,45.0
1758199148.8574052,95,45.0
1758199152.2682042,96,58.0
1758199153.835978,97,14.0
1758199156.527012,98,34.0
1758199159.544446,99,45.0
1758199162.8172646,100,44.0
1758199165.506264,101,44.0
1758199167.500707,102,24.0
1758199169.4211838,103,24.0
1758199173.734413,104,58.0
1758199176.3859897,105,39.0
1758199178.8776903,106,34.0
1758199181.1529858,107,24.0
1758199183.1359196,108,18.0
1758199186.4910955,109,45.0
1758199189.6265297,110,45.0
1758199191.7240076,111,24.0
1758199195.8376734,112,58.0
1758199198.5015564,113,34.0
1758199202.9686031,114,68.0
1758199204.6613653,115,12.0
1758199207.4897873,116,34.0
1758199211.206594,117,56.0
1758199213.998696,118,33.0
1758199217.8688653,119,45.0
1758199220.1736238,120,24.0
1758199225.1461718,121,67.0
1758199230.8735232,122,79.0
1758199233.4834802,123,34.0
1758199236.9725037,124,56.0
1758199239.6369183,125,34.0
1758199245.8634539,126,79.0
1758199252.054283,127,79.0
1758199261.00007,128,125.0
1758199285.0543728,129,471.0
1758199293.1628263,130,117.0
1758199317.77832,131,365.0
1758199335.8965206,132,252.0
1758199341.5403647,133,79.0
1758199361.1321309,134,282.0
1758199376.7125068,135,242.0
1758199410.8475828,136,366.0
1758199439.6392884,137,366.0
1758199496.1291077,138,445.0
1758199513.471687,139,6.0
1758199529.7115676,140,5.0
1758199546.324337,141,5.0
1758199570.5795732,142,30.0
1758199575.2310402,143,29.0
1758199597.4026997,144,37.0
1758199631.1754906,145,34.0
1758199649.203306,146,20.0
1758199666.5121775,147,11.0
1758199683.9819107,148,11.0
1758199701.3371377,149,12.0
1758199719.8277369,150,8.0
1758199742.7810762,151,8.0
1758199761.2154908,152,21.0
1758199779.4009407,153,24.0
1758199831.5582378,154,21.0
1758199848.669281,155,10.0
1758199865.5623875,156,7.0
1758199882.380772,157,6.0
1758199899.2500103,158,6.0
1758199916.0812645,159,6.0
1758199932.9995828,160,7.0
1758199950.255266,161,10.0
1758199967.4619613,162,11.0
1758200006.6815298,163,290.0
1758200023.7293298,164,8.0
1758200043.987594,165,49.0
1758200045.4781554,166,8.0
1758200046.8561933,167,10.0
1758200048.2151542,168,8.0
1758200076.9785445,169,49.0
1758200078.248848,170,9.0
1758200080.7883172,171,30.0
1758200093.5947287,172,134.0
1758200110.6772676,173,7.0
1758200127.703024,174,6.0
1758200167.2764063,175,99.0
1758200174.604055,176,92.0
1758200180.0559354,177,68.0
1758200218.1101022,178,281.0
1758200243.0682843,179,523.0
1758200268.8837914,180,59.0
1758200294.4317894,181,59.0
1758200320.9761546,182,58.0
1758200343.8449874,183,59.0
1758200370.2069952,184,101.0
1758200390.9130712,185,59.0
1758200429.2408652,186,530.0
1758200454.514787,187,526.0
1758200478.2746773,188,83.0
1758200500.5147855,189,88.0
1758200523.8144488,190,81.0
1758200547.2092867,191,85.0
1758200570.0331688,192,71.0
1758200604.0848813,193,71.0
1758200625.303125,194,62.0
1758200631.525079,195,77.0
1758200638.292672,196,85.0
1758200683.899959,197,243.0
1758200717.648204,198,256.0
1758200746.0237117,199,282.0
1758200776.5876474,200,280.0
1758200808.5385623,201,281.0
1758200823.6642914,202,238.0
1758200840.4855165,203,283.0
1758200856.2708323,204,283.0
1758200872.5820775,205,282.0
1758200889.568999,206,280.0
1758200905.4680517,207,282.0
1758200922.015461,208,283.0
1758200939.3418574,209,283.0
1758200956.0049198,210,286.0
1758200972.8272398,211,282.0
1758200990.6265635,212,284.0
1758201009.1564786,213,286.0
1758201030.0528069,214,282.0
1758201055.9452443,215,283.0
1758201088.6120176,216,284.0
1758201115.299684,217,283.0
1758201136.2747667,218,283.0
1758201171.4175758,219,396.0
1758201208.9940321,220,289.0
1758201235.0263731,221,396.0
1758201261.2947176,222,414.0
1758201279.7586584,223,284.0
1758201299.111077,224,284.0
1758201318.2945154,225,283.0
1758201348.2185438,226,400.0
1758201400.7099872,227,397.0
1758201419.9532368,228,286.0
1758201464.0679517,229,395.0
1758201528.8748233,230,293.0
1758201570.7614305,231,361.0
1758201619.5279458,232,526.0
1758201665.6794677,233,298.0
1758201701.118564,234,540.0
1758201723.6801648,235,523.0
1758201744.2903583,236,523.0
1758201760.848308,237,286.0
1758201809.1572945,238,930.0
1758201842.4776177,239,710.0
1758201877.0080814,240,535.0
1758201923.845523,241,930.0
1758201945.8139997,242,527.0
1758201988.8225722,243,294.0
1758202023.2162535,244,538.0
1758202058.0368593,245,284.0
1758202079.5677092,246,523.0
1758202118.8717182,247,474.0
1758202153.8631175,248,284.0
1758202211.0199091,249,294.0
1758202246.8809452,250,619.0
1758202266.3386621,251,286.0
1758202306.662479,252,417.0
1758202347.1451445,253,414.0
1758202369.1600206,254,523.0
1758202413.808769,255,434.0
1758202449.2964964,256,293.0
1758202510.4299622,257,325.0
1758202551.5544295,258,414.0
1758202601.1203756,259,276.0
1758202625.715417,260,547.0
1758202685.5266132,261,295.0
1758202711.6587799,262,523.0
1758202757.9086964,263,314.0
1758202780.8770509,264,524.0
1758202804.449669,265,523.0
1758202891.4496608,266,928.0
1758202917.8262649,267,527.0
1758202941.830883,268,524.0
1758202976.9630253,269,524.0
1758202996.4760478,270,524.0
1758203035.8369167,271,465.0
1758203081.474474,272,299.0
1758203113.3362074,273,294.0
1758203131.0381641,274,12.0
1758203164.3301911,275,296.0
1758203205.964066,276,344.0
1758203241.8317094,277,295.0
1758203289.43322,278,527.0
1758203351.8846061,279,294.0
1758203389.9431238,280,294.0
1758203431.062515,281,419.0
1758203456.5579102,282,554.0
1758203483.5313017,283,415.0
1758203518.4207134,284,622.0
1758203557.3708332,285,416.0
1758203597.895578,286,417.0
1758203635.9087846,287,435.0
1758203675.155665,288,567.0
1758203711.7983067,289,453.0
1758203743.5690973,290,525.0
1758203770.447857,291,545.0
1758203812.0829525,292,437.0
1758203854.3471344,293,343.0
1758203882.2642977,294,563.0
1758203919.5206442,295,529.0
1758203940.4136522,296,414.0
1758203978.7914653,297,346.0
1758204011.7431757,298,600.0
1758204046.2703094,299,603.0
1758204077.4889061,300,525.0
1758204105.7889185,301,578.0
1758204134.0511653,302,529.0
1758204163.8453312,303,549.0
1758204197.773597,304,598.0
1758204219.3739297,305,322.0
1758204248.9931562,306,612.0
1758204279.7889414,307,528.0
1758204312.9084702,308,603.0
1758204346.4692154,309,595.0
1758204376.5168374,310,426.0
1758204401.051601,311,416.0
1758204442.284933,312,587.0
1758204479.9179096,313,418.0
1758204508.0024197,314,523.0
1758204545.4970992,315,414.0
1758204575.0943851,316,598.0
1758204608.6034906,317,416.0
1758204632.0937905,318,598.0
1758204652.9314544,319,523.0
1758204671.2173183,320,529.0
1758204706.2064903,321,418.0
1758204743.429291,322,419.0
1758204774.6276767,323,598.0
1758204796.5862343,324,585.0
1758204818.7973366,325,585.0
1758204842.5389566,326,374.0
1758204866.8866308,327,590.0
1758204887.9875808,328,550.0
1758204905.946408,329,547.0
1758204929.1993487,330,599.0
1758204953.0080159,331,586.0
1758204976.146898,332,585.0
1758205007.9606524,333,294.0
1758205025.8737624,334,538.0
1758205045.0736935,335,531.0
1758205063.6565115,336,532.0
1758205082.0704656,337,529.0
1758205101.2668073,338,527.0
1758205122.9141848,339,578.0
1758205142.333017,340,530.0
1758205160.8156607,341,523.0
1758205185.496925,342,377.0
1758205205.143283,343,530.0
1758205226.848627,344,575.0
1758205254.2735147,345,533.0
1758205283.5117316,346,421.0
1758205303.6630156,347,523.0
1758205323.7212112,348,538.0
1758205345.934073,349,584.0
1758205379.5466485,350,294.0
1758205443.7850342,351,607.0
1758205483.7154076,352,417.0
1758205534.6668239,353,577.0
1758205577.1459181,354,413.0
1758205595.4583907,355,484.0
1758205616.2879636,356,431.0
1758205640.9070385,357,391.0
1758205674.0377164,358,286.0
1758205709.6495545,359,598.0
1758205730.1712425,360,414.0
1758205766.3690407,361,418.0
